,Compound Score,Date,Negative Score,Neutral Score,Positive Score,Screen Name,Tweet,Tweets Ago
106,0.0,2017-09-18 10:17:36+00:00,0.0,1.0,0.0,BBCWorld,Africa's migrant trade: @BBCPanorama reveals the extraordinary scale of people-smuggling across sub-Saharan Africa… https://t.co/z5pte33rVR,7
107,0.0,2017-09-18 10:10:53+00:00,0.0,1.0,0.0,BBCWorld,China and India water 'dispute' after border stand-off https://t.co/XdwRLIJp9F,8
108,-0.5994,2017-09-18 09:55:51+00:00,0.281,0.719,0.0,BBCWorld,German trial over pensioner left to die in bank branch https://t.co/r2y2iQTs3E,9
109,-0.5574,2017-09-18 09:55:12+00:00,0.153,0.847,0.0,BBCWorld,"RT @BBCBreaking: Wayne Rooney given two-year driving ban, and community order for 12 months with 100 hours of unpaid work https://t.co/s0za…",10
110,-0.3818,2017-09-18 09:49:53+00:00,0.245,0.755,0.0,BBCWorld,Shanghai demolishes 'nail house' blocking road and traffic https://t.co/sZs6cieTgO,11
111,-0.4215,2017-09-18 09:43:48+00:00,0.189,0.811,0.0,BBCWorld,RT @BBCBreaking: Former England footballer Wayne Rooney pleads guilty to drink-driving charge https://t.co/cnKysms8iJ,12
112,0.0,2017-09-18 09:29:50+00:00,0.0,1.0,0.0,BBCWorld,UK tourist in Venice hands big euro find to police https://t.co/GQGJjysJPf,13
113,0.0,2017-09-18 09:09:25+00:00,0.0,1.0,0.0,BBCWorld,Theresa May visits Canada for post-Brexit trade talks https://t.co/WhzX9OPjG7,14
114,-0.4003,2017-09-18 08:56:22+00:00,0.172,0.828,0.0,BBCWorld,"Scout Schultz is heard saying ""Shoot me!"" in a video filmed by fellow students https://t.co/ZEszBfFWlw",15
115,0.0,2017-09-18 08:53:09+00:00,0.0,1.0,0.0,BBCWorld,Rolling Stone magazine up for sale https://t.co/YFddHWpzqk,16
116,0.5106,2017-09-18 08:47:12+00:00,0.0,0.377,0.623,BBCWorld,Strong women https://t.co/qbKhhhXtj2,17
117,-0.4019,2017-09-18 08:29:12+00:00,0.172,0.828,0.0,BBCWorld,"RT @BBCNewsAsia: China and India in new dispute, this time over water: https://t.co/kjCgv3CPPX https://t.co/jImlKfGedG",18
118,-0.3612,2017-09-18 08:19:06+00:00,0.333,0.667,0.0,BBCWorld,Rhino horn smuggled as jewellery https://t.co/XYmMaJN5Cf,19
119,-0.4404,2017-09-18 08:12:14+00:00,0.225,0.775,0.0,BBCWorld,RT @BBCNewsAsia: Notorious traffic-obstructing 'nail house' demolished in Shanghai: https://t.co/Y3FqTFPfG7 https://t.co/KUdUMmbWrL,20
120,-0.0258,2017-09-18 07:31:17+00:00,0.136,0.678,0.186,BBCWorld,"Myanmar's top general accuses ""extremists"" of trying to form stronghold in northern Rakhine state https://t.co/PvoAykgaPH",21
121,-0.296,2017-09-18 07:03:17+00:00,0.145,0.855,0.0,BBCWorld,"Hurricane warnings issued for Guadeloupe, Dominica, St Kitts and Nevis, Montserrat and Martinique https://t.co/wTB0l7M07f",22
122,0.0,2017-09-18 07:00:22+00:00,0.0,1.0,0.0,BBCWorld,China and India water 'dispute' after border stand-off https://t.co/FPsSRgdfnd,23
123,-0.25,2017-09-18 06:48:01+00:00,0.077,0.923,0.0,BBCWorld,"RT @BBCBusiness: On #BBCBizLive: As Ryanair continues to cancel 40-50 flights per day, are you put you off flying with them or is the price…",24
124,-0.25,2017-09-18 04:59:49+00:00,0.125,0.875,0.0,BBCWorld,Thousands of airline passengers stranded in New Zealand due to jet fuel shortage https://t.co/NSGfQwVpxV https://t.co/ZUEYIkNIkq,25
125,-0.25,2017-09-18 04:36:27+00:00,0.2,0.8,0.0,BBCWorld,New Zealand jet fuel shortage leaves passengers stranded https://t.co/tAybz0MXss,26
126,-0.2263,2017-09-18 03:51:44+00:00,0.213,0.787,0.0,BBCWorld,Snapchat blocks Al Jazeera in Saudi Arabia https://t.co/PPR7WLtZKq,27
127,0.8481,2017-09-18 03:15:36+00:00,0.0,0.494,0.506,BBCWorld,"The #Emmys2017 for 'Best Outstanding Drama' goes to... 

https://t.co/Zan61HZg8E https://t.co/VjGzFeiQq3",28
128,0.9169,2017-09-18 03:08:41+00:00,0.0,0.602,0.398,BBCWorld,"RT @BBCBreaking: Dystopian drama The Handmaid's Tale takes main Emmy award for best drama series, with Elisabeth Moss best actress https://…",29
129,0.0,2017-09-18 02:52:11+00:00,0.0,1.0,0.0,BBCWorld,RT @BBCNewsAsia: This is how you move a 135-year-old Buddhist temple: https://t.co/mgZ7aP2s8A https://t.co/Y9HAZkwUQt,30
130,-0.7783,2017-09-18 02:15:09+00:00,0.405,0.595,0.0,BBCWorld,RT @BBCNewsAsia: Myanmar army chief blames #Rohingya people for crisis: https://t.co/h3z0PpwEuZ https://t.co/dYy4uAUaFO,31
131,-0.3612,2017-09-18 02:12:11+00:00,0.164,0.76,0.076,BBCWorld,RT @BBCNewsAsia: The number of North Koreans defecting to the south is dropping: https://t.co/yyr6rqRsxU https://t.co/ywZaLPOwvK,32
132,-0.6249,2017-09-18 02:01:36+00:00,0.298,0.702,0.0,BBCWorld,"RT @BBCNewsAsia: Did police and paramedics in Taiwan leave a migrant worker to die?

https://t.co/rq1ZM1GB8Z",33
133,0.0,2017-09-18 01:51:38+00:00,0.0,1.0,0.0,BBCWorld,"RT @BBCNewsAsia: About last night... https://t.co/FrFUvW4PpS

🍾 @LewisHamilton

#SingaporeGP 
#f1nightrace 
#F1
#F1Singapore https://t.co/V…",34
134,-0.0258,2017-09-18 01:46:34+00:00,0.181,0.643,0.175,BBCWorld,RT @BBCNewsAsia: Man dies at haunted house attraction in Hong Kong: https://t.co/HmnXbQ0v8K https://t.co/Gbs3dNiPQf,35
135,-0.6486,2017-09-18 01:41:40+00:00,0.301,0.699,0.0,BBCWorld,Armed LGBT student Scout Schultz shot dead by Atlanta police https://t.co/yy1wIIzJrT,36
136,-0.1779,2017-09-18 00:05:28+00:00,0.31,0.442,0.248,BBCWorld,Powerful storm kills eight in Romania https://t.co/dX5KOhmwAv,37
137,-0.3182,2017-09-17 23:49:23+00:00,0.32,0.68,0.0,BBCWorld,One theme park's trick to cut rollercoaster queues https://t.co/Q2cGc9ZDHN,38
